device_timestamp_us,sequence,target_frame,written_frame,source_frames,gap_frames,trimmed_frames
9539147,554,84240,84240,240,0,0
9549222,556,84483,84483,240,3,0
9559094,557,84720,84723,240,0,3
9569153,559,84960,84960,240,0,0
9579118,560,85200,85200,240,0,0
9589107,562,85440,85440,240,0,0
9599054,563,85680,85680,240,0,0
9609068,565,85920,85920,240,0,0
9618992,566,86160,86160,240,0,0
9629163,568,86400,86400,240,0,0
9639107,569,86640,86640,240,0,0
9649174,571,86880,86880,240,0,0
9659081,572,87120,87120,240,0,0
9669141,574,87360,87360,240,0,0
9679006,575,87600,87600,240,0,0
9689127,577,87840,87840,240,0,0
9699009,578,88080,88080,240,0,0
9709067,580,88320,88320,240,0,0
9719037,581,88560,88560,240,0,0
9729019,583,88800,88800,240,0,0
9739094,584,89040,89040,240,0,0
9749154,586,89280,89280,240,0,0
9759114,587,89520,89520,240,0,0
9769025,589,89760,89760,240,0,0
9779062,590,90000,90000,240,0,0
9789168,592,90240,90240,240,0,0
9798983,593,90480,90480,240,0,0
9808991,595,90720,90720,240,0,0
9819136,596,90960,90960,240,0,0
9829114,598,91200,91200,240,0,0
9839086,599,91440,91440,240,0,0
9849308,601,91685,91685,240,5,0
9859166,602,91922,91925,240,0,3
9869123,604,92162,92162,240,0,0
9879066,605,92402,92402,240,0,0
9889119,608,92642,92642,240,0,0
9899126,609,92882,92882,240,0,0
9909023,611,93119,93122,240,0,3
9919014,612,93359,93359,240,0,0
9929005,614,93599,93599,240,0,0
9939044,615,93839,93839,240,0,0
9949180,617,94082,94082,240,3,0
9958991,618,94318,94322,240,0,4
9969177,620,94562,94562,240,4,0
9979068,621,94802,94802,240,0,0
9989062,623,95039,95042,240,0,3
9999025,624,95279,95279,240,0,0
10009117,626,95519,95519,240,0,0
10019126,627,95759,95759,240,0,0
10029107,629,95999,95999,240,0,0
10039090,630,96239,96239,240,0,0
10049112,632,96479,96479,240,0,0
10059128,633,96719,96719,240,0,0
10069139,635,96959,96959,240,0,0
10079017,636,97199,97199,240,0,0
10089087,638,97439,97439,240,0,0
10099139,639,97679,97679,240,0,0
10109095,641,97919,97919,240,0,0
10119107,642,98159,98159,240,0,0
10129119,644,98399,98399,240,0,0
10139105,645,98639,98639,240,0,0
10149119,647,98879,98879,240,0,0
10159330,648,99126,99126,240,7,0
10169000,650,99358,99366,240,0,8
10179154,651,99602,99602,240,4,0
10189036,653,99839,99842,240,0,3
10198994,654,100079,100079,240,0,0
10209159,656,100322,100322,240,3,0
10219002,657,100558,100562,240,0,4
10229099,659,100798,100798,240,0,0
10239099,660,101038,101038,240,0,0
10249043,662,101278,101278,240,0,0
10259028,663,101518,101518,240,0,0
10269208,665,101763,101763,240,5,0
10279136,666,102003,102003,240,0,0
10289125,668,102243,102243,240,0,0
10299024,669,102479,102483,240,0,4
10309061,671,102719,102719,240,0,0
10319089,672,102959,102959,240,0,0
10329052,674,103199,103199,240,0,0
10339010,675,103439,103439,240,0,0
10349141,677,103679,103679,240,0,0
10359139,678,103919,103919,240,0,0
10369020,680,104159,104159,240,0,0
10378986,681,104399,104399,240,0,0
10389001,683,104639,104639,240,0,0
10399070,684,104879,104879,240,0,0
10408991,686,105119,105119,240,0,0
10419072,687,105359,105359,240,0,0
10429049,689,105599,105599,240,0,0
10439004,690,105839,105839,240,0,0
10448997,692,106079,106079,240,0,0
10459100,693,106319,106319,240,0,0
10469034,695,106559,106559,240,0,0
10479101,696,106799,106799,240,0,0
10489104,698,107039,107039,240,0,0
10499122,699,107279,107279,240,0,0
10509109,701,107519,107519,240,0,0
10519046,702,107759,107759,240,0,0
10529011,704,107999,107999,240,0,0
10539002,705,108239,108239,240,0,0
10549140,707,108479,108479,240,0,0
10559238,708,108724,108724,240,5,0
10569152,710,108964,108964,240,0,0
10579121,711,109201,109204,240,0,3
10589211,713,109441,109441,240,0,0
10599064,714,109681,109681,240,0,0
10609180,716,109921,109921,240,0,0
10619111,717,110161,110161,240,0,0
10629126,719,110401,110401,240,0,0
10639336,720,110646,110646,240,5,0
10649209,722,110883,110886,240,0,3
10659055,723,111119,111123,240,0,4
10669351,725,111366,111366,240,7,0
10679047,726,111599,111606,240,0,7
10689011,728,111839,111839,240,0,0
10699112,729,112079,112079,240,0,0
10709109,731,112319,112319,240,0,0
10719099,732,112559,112559,240,0,0
